#Run,StartTime,StopTime,Delivered,Recorded
171926,2011-07-28 08:42:37.063986,2011-07-28 10:24:53.068594,10198567.1909,9831762.51124
172011,2011-07-28 23:17:47.593010,2011-07-28 23:17:24.262194,759257.973612,0.0
172014,2011-07-28 23:20:47.885829,2011-07-29 00:59:57.243909,11324220.7712,10106667.8503
172024,2011-07-29 01:00:54.835382,2011-07-29 02:03:07.765942,6458991.86269,2909984.97179
172033,2011-07-29 02:04:01.228631,2011-07-29 06:54:52.678999,25482171.4519,25155059.6815
172163,2011-07-29 15:48:03.249859,2011-07-29 20:42:24.677571,29364390.5937,28868942.7703
172208,2011-07-30 09:49:57.177781,2011-07-30 10:45:56.815285,6532490.46706,6236013.20705
172252,2011-07-30 20:57:40.009739,2011-07-30 21:13:13.242379,2052007.57967,1274287.81624
172254,2011-07-30 21:18:26.102458,2011-07-30 21:37:52.643258,2494798.73721,1898077.23952
172255,2011-07-30 21:38:50.322300,2011-07-30 21:53:36.893308,1723152.85145,1593750.86259
172268,2011-07-31 01:51:30.534466,2011-07-31 02:37:00.239938,5644473.92858,5466613.80098
172286,2011-07-31 08:15:25.773602,2011-07-31 09:23:28.666402,7420903.02523,7238261.275
172389,2011-08-01 23:39:06.333312,2011-08-02 02:26:18.584192,18391043.7332,18048413.0857
172399,2011-08-02 05:59:18.462532,2011-08-02 07:14:44.640836,8882981.72548,7817191.03773
172400,2011-08-02 07:16:11.717730,2011-08-02 11:55:46.574434,26847992.0585,25714786.189
172401,2011-08-02 11:57:13.931222,2011-08-02 12:54:00.230358,4641576.31354,4409512.38319
172411,2011-08-02 17:15:30.304248,2011-08-02 23:03:54.715384,34698499.0059,12980420.5845
172444,2011-08-02 23:04:38.199185,2011-08-02 23:25:38.063249,1899529.18975,1726.38392075
172448,2011-08-02 23:25:51.542155,2011-08-02 23:36:44.805003,994005.229091,669.053434193
172451,2011-08-02 23:36:49.198837,2011-08-03 00:00:09.047797,2086329.37381,0.299602662852
172457,2011-08-03 00:00:19.727405,2011-08-03 01:54:15.656493,10138244.5794,0.658562824142
172468,2011-08-03 01:54:36.044078,2011-08-03 02:43:12.396078,3827926.02702,22922.4358138
172473,2011-08-03 02:43:22.665315,2011-08-03 03:02:02.544483,1429094.77243,687210.33537
172475,2011-08-03 03:02:48.503743,2011-08-03 03:18:21.736383,1183101.11021,665333.183866
172476,2011-08-03 03:19:27.964065,2011-08-03 03:36:57.850785,1325921.14833,758338.17121
172478,2011-08-03 03:37:00.538735,2011-08-03 04:36:30.153583,4216626.07569,4114253.77255
172485,2011-08-03 06:43:22.506407,2011-08-03 10:37:50.988455,25839329.867,21361231.6149
172488,2011-08-03 10:39:08.216497,2011-08-03 11:43:17.801137,6121844.21549,5057259.4248
172495,2011-08-03 11:44:29.541493,2011-08-03 12:45:55.810421,5539741.33181,3432177.73142
172497,2011-08-03 12:46:41.197009,2011-08-03 13:30:37.579217,3798571.43049,606325.088155
172507,2011-08-03 13:31:31.851449,2011-08-03 14:06:31.624889,2932312.50605,1995401.98786
172516,2011-08-03 14:07:32.852272,2011-08-03 18:22:14.536752,16482883.9019,999438.670064
172549,2011-08-03 18:22:53.875810,2011-08-03 19:09:10.242914,3014432.95566,0.0
172557,2011-08-03 19:09:29.775603,2011-08-03 19:30:29.639667,1381636.10985,0.0
172561,2011-08-03 19:30:48.012796,2011-08-03 19:40:31.283196,653141.765048,0.0
172564,2011-08-03 19:40:47.606111,2011-08-03 19:47:00.899167,427056.237573,0.0
172567,2011-08-03 19:47:03.779442,2011-08-03 19:57:10.380658,678270.851468,0.0
172573,2011-08-03 19:57:19.144344,2011-08-03 20:08:12.407192,728518.975551,0.0
172576,2011-08-03 20:08:27.591441,2011-08-03 20:25:34.147345,1130474.54242,0.0
172579,2011-08-03 20:25:50.544650,2011-08-03 20:37:07.138314,753655.944586,0.0
172584,2011-08-03 20:37:14.134644,2011-08-03 20:50:50.713204,904396.132537,0.0
172588,2011-08-03 20:50:56.883168,2011-08-03 21:19:43.363552,1884197.66736,0.0
